plz,ort,kanton,lat,lon
1000,Lausanne 25,VD,46.5726,6.694
1001,Lausanne,VD,46.516,6.6328
1002,Lausanne,VD,46.516,6.6328
1003,Lausanne,VD,46.52,6.6305
1004,Lausanne,VD,46.5289,6.6178
1005,Lausanne,VD,46.5217,6.6432
1006,Lausanne,VD,46.4912,6.6349
1007,Lausanne,VD,46.488,6.607
1008,Jouxtens-Mézery,VD,46.5519,6.596
1009,Pully,VD,46.4884,6.6557
1010,Lausanne,VD,46.5377,6.6553
1011,Lausanne,VD,46.5256,6.6433
1012,Lausanne,VD,46.5271,6.6566
1014,Lausanne Adm cant VD,VD,46.5218,6.633
1015,Lausanne,VD,46.5192,6.5762
1018,Lausanne,VD,46.5381,6.6279
1019,Lausanne Services spéciaux,VD,46.5218,6.633
1020,Renens VD,VD,46.5353,6.5897
1022,Chavannes-près-Renens,VD,46.5285,6.5758
1023,Crissier,VD,46.5563,6.5777
1024,Ecublens VD,VD,46.5288,6.5586
1025,St-Sulpice VD,VD,46.4855,6.5626
1026,Echandens,VD,46.5397,6.5379
1027,Lonay,VD,46.5299,6.517
1028,Préverenges,VD,46.4941,6.5291
1029,Villars-Ste-Croix,VD,46.5674,6.5632
1030,Bussigny,VD,46.5534,6.5508
1031,Mex VD,VD,46.5771,6.559
1032,Romanel-sur-Lausanne,VD,46.5659,6.6091
1033,Cheseaux-sur-Lausanne,VD,46.5822,6.5958
1034,Boussens,VD,46.6033,6.586
1035,Bournens,VD,46.6089,6.564
1036,Sullens,VD,46.5912,6.5674
1037,Etagnières,VD,46.6014,6.6085
1038,Bercher,VD,46.6916,6.7063
1039,Cheseaux Polyval,VD,46.5845,6.5955
1040,St-Barthélemy VD,VD,46.6348,6.6021
1041,Poliez-le-Grand,VD,46.6397,6.6703
1042,Bioley-Orjulaz,VD,46.6193,6.6009
1043,Sugnens,VD,46.6544,6.6729
1044,Fey,VD,46.6729,6.6801
1045,Ogens,VD,46.7093,6.7236
1046,Rueyres,VD,46.6975,6.6939
1047,Oppens,VD,46.7153,6.695
